graph,order,size,time,iterations,error,technique,tolerance
"min-2SCC","8","12","0","1","0.40009","pagerankL1Norm","1"
"min-2SCC","8","12","0","1","0.40009","pagerankL2Norm","1"
"min-2SCC","8","12","0","1","0.40009","pagerankLiNorm","1"
"min-2SCC","8","12","0","1","0.40009","pagerankL1Norm","0.5"
"min-2SCC","8","12","0","1","0.40009","pagerankL2Norm","0.5"
"min-2SCC","8","12","0","1","0.40009","pagerankLiNorm","0.5"
"min-2SCC","8","12","0","5","0.034808","pagerankL1Norm","0.1"
"min-2SCC","8","12","0","2","0.24957","pagerankL2Norm","0.1"
"min-2SCC","8","12","0","1","0.40009","pagerankLiNorm","0.1"
"min-2SCC","8","12","0","5","0.034808","pagerankL1Norm","0.05"
"min-2SCC","8","12","0","6","0.026837","pagerankL2Norm","0.05"
"min-2SCC","8","12","0","4","0.062807","pagerankLiNorm","0.05"
"min-2SCC","8","12","0.001","10","0.0048759","pagerankL1Norm","0.01"
"min-2SCC","8","12","0.004","11","0.0034588","pagerankL2Norm","0.01"
"min-2SCC","8","12","0","6","0.026837","pagerankLiNorm","0.01"
"min-2SCC","8","12","0.001","11","0.0034588","pagerankL1Norm","0.005"
"min-2SCC","8","12","0.002","20","0.0002046","pagerankL2Norm","0.005"
"min-2SCC","8","12","0.001","10","0.0048759","pagerankLiNorm","0.005"
"min-2SCC","8","12","0.001","17","0.00047717","pagerankL1Norm","0.001"
"min-2SCC","8","12","0.003","27","0.000027832","pagerankL2Norm","0.001"
"min-2SCC","8","12","0.001","14","0.00096785","pagerankLiNorm","0.001"
"min-2SCC","8","12","0.002","19","0.00023992","pagerankL1Norm","0.0005"
"min-2SCC","8","12","0.004","29","0.000012662","pagerankL2Norm","0.0005"
"min-2SCC","8","12","0.001","16","0.0006481","pagerankLiNorm","0.0005"
"min-2SCC","8","12","0.002","24","0.0000592","pagerankL1Norm","0.0001"
"min-2SCC","8","12","0.006","45","6.5565e-7","pagerankL2Norm","0.0001"
"min-2SCC","8","12","0.002","21","0.0001213","pagerankLiNorm","0.0001"
"min-2SCC","8","12","0.004","27","0.000027832","pagerankL1Norm","0.00005"
"min-2SCC","8","12","0.007","50","5.5879e-7","pagerankL2Norm","0.00005"
"min-2SCC","8","12","0.002","24","0.0000592","pagerankLiNorm","0.00005"
"min-2SCC","8","12","0.003","33","0.0000037178","pagerankL1Norm","0.00001"
"min-2SCC","8","12","0.01","50","5.5879e-7","pagerankL2Norm","0.00001"
"min-2SCC","8","12","0.003","29","0.000012662","pagerankLiNorm","0.00001"
"min-2SCC","8","12","0.003","35","0.0000027269","pagerankL1Norm","0.000005"
"min-2SCC","8","12","0.007","50","5.5879e-7","pagerankL2Norm","0.000005"
"min-2SCC","8","12","0.003","32","0.000005953","pagerankLiNorm","0.000005"
"min-2SCC","8","12","0.004","40","0","pagerankL1Norm","0.000001"
"min-2SCC","8","12","0.007","50","5.5879e-7","pagerankL2Norm","0.000001"
"min-2SCC","8","12","0.004","37","0.0000011325","pagerankLiNorm","0.000001"
"min-2SCC","8","12","0.004","42","8.7917e-7","pagerankL1Norm","5e-7"
"min-2SCC","8","12","0.007","50","5.5879e-7","pagerankL2Norm","5e-7"
"min-2SCC","8","12","0.004","40","0","pagerankLiNorm","5e-7"
"min-2SCC","8","12","0.005","48","5.6624e-7","pagerankL1Norm","1e-7"
"min-2SCC","8","12","0.007","50","5.5879e-7","pagerankL2Norm","1e-7"
"min-2SCC","8","12","0.005","45","6.5565e-7","pagerankLiNorm","1e-7"
"min-2SCC","8","12","0.051","500","5.5879e-7","pagerankL1Norm","5e-8"
"min-2SCC","8","12","0.008","50","5.5879e-7","pagerankL2Norm","5e-8"
"min-2SCC","8","12","0.005","49","6.184e-7","pagerankLiNorm","5e-8"
"min-2SCC","8","12","0.051","500","5.5879e-7","pagerankL1Norm","1e-8"
"min-2SCC","8","12","0.007","50","5.5879e-7","pagerankL2Norm","1e-8"
"min-2SCC","8","12","0.055","500","5.5879e-7","pagerankLiNorm","1e-8"
"min-2SCC","8","12","0.051","500","5.5879e-7","pagerankL1Norm","5e-9"
"min-2SCC","8","12","0.008","50","5.5879e-7","pagerankL2Norm","5e-9"
"min-2SCC","8","12","0.058","500","5.5879e-7","pagerankLiNorm","5e-9"
"min-2SCC","8","12","0.051","500","5.5879e-7","pagerankL1Norm","1e-9"
"min-2SCC","8","12","0.007","50","5.5879e-7","pagerankL2Norm","1e-9"
"min-2SCC","8","12","0.057","500","5.5879e-7","pagerankLiNorm","1e-9"
"min-2SCC","8","12","0.053","500","5.5879e-7","pagerankL1Norm","5e-10"
"min-2SCC","8","12","0.007","50","5.5879e-7","pagerankL2Norm","5e-10"
"min-2SCC","8","12","0.057","500","5.5879e-7","pagerankLiNorm","5e-10"
"min-2SCC","8","12","0.051","500","5.5879e-7","pagerankL1Norm","1e-10"
"min-2SCC","8","12","0.007","50","5.5879e-7","pagerankL2Norm","1e-10"
"min-2SCC","8","12","0.06","500","5.5879e-7","pagerankLiNorm","1e-10"
"min-4SCC","21","35","0.019","45","0","pagerank","0"
"min-4SCC","21","35","0","1","0.33509","pagerankL1Norm","1"
"min-4SCC","21","35","0","1","0.33509","pagerankL2Norm","1"
"min-4SCC","21","35","0","1","0.33509","pagerankLiNorm","1"
"min-4SCC","21","35","0","1","0.33509","pagerankL1Norm","0.5"
"min-4SCC","21","35","0","1","0.33509","pagerankL2Norm","0.5"
"min-4SCC","21","35","0","1","0.33509","pagerankLiNorm","0.5"
"min-4SCC","21","35","0.002","5","0.073296","pagerankL1Norm","0.1"
"min-4SCC","21","35","0","1","0.33509","pagerankL2Norm","0.1"
"min-4SCC","21","35","0","1","0.33509","pagerankLiNorm","0.1"
"min-4SCC","21","35","0.002","6","0.053812","pagerankL1Norm","0.05"
"min-4SCC","21","35","0.001","3","0.15877","pagerankL2Norm","0.05"
"min-4SCC","21","35","0","1","0.33509","pagerankLiNorm","0.05"
"min-4SCC","21","35","0.004","12","0.0084241","pagerankL1Norm","0.01"
"min-4SCC","21","35","0.004","12","0.0084241","pagerankL2Norm","0.01"
"min-4SCC","21","35","0.002","6","0.053812","pagerankLiNorm","0.01"
"min-4SCC","21","35","0.005","14","0.0041039","pagerankL1Norm","0.005"
"min-4SCC","21","35","0.01","16","0.0022015","pagerankL2Norm","0.005"
"min-4SCC","21","35","0.003","9","0.02014","pagerankLiNorm","0.005"
"min-4SCC","21","35","0.007","20","0.0005995","pagerankL1Norm","0.001"
"min-4SCC","21","35","0.011","28","0.000059597","pagerankL2Norm","0.001"
"min-4SCC","21","35","0.005","14","0.0041039","pagerankLiNorm","0.001"
"min-4SCC","21","35","0.008","23","0.00021038","pagerankL1Norm","0.0005"
"min-4SCC","21","35","0.013","32","0.000018589","pagerankL2Norm","0.0005"
"min-4SCC","21","35","0.006","17","0.0015437","pagerankLiNorm","0.0005"
"min-4SCC","21","35","0.014","28","0.000059597","pagerankL1Norm","0.0001"
"min-4SCC","21","35","0.016","39","0.0000031888","pagerankL2Norm","0.0001"
"min-4SCC","21","35","0.009","23","0.00021038","pagerankLiNorm","0.0001"
"min-4SCC","21","35","0.011","31","0.000025813","pagerankL1Norm","0.00005"
"min-4SCC","21","35","0.021","49","3.1851e-7","pagerankL2Norm","0.00005"
"min-4SCC","21","35","0.01","25","0.00013337","pagerankLiNorm","0.00005"
"min-4SCC","21","35","0.014","36","0.0000057798","pagerankL1Norm","0.00001"
"min-4SCC","21","35","0.024","57","4.4517e-7","pagerankL2Norm","0.00001"
"min-4SCC","21","35","0.012","31","0.000025813","pagerankLiNorm","0.00001"
"min-4SCC","21","35","0.014","39","0.0000031888","pagerankL1Norm","0.000005"
"min-4SCC","21","35","0.025","57","4.4517e-7","pagerankL2Norm","0.000005"
"min-4SCC","21","35","0.013","34","0.000011383","pagerankLiNorm","0.000005"
"min-4SCC","21","35","0.016","45","0","pagerankL1Norm","0.000001"
"min-4SCC","21","35","0.024","57","4.4517e-7","pagerankL2Norm","0.000001"
"min-4SCC","21","35","0.018","40","0.0000016391","pagerankLiNorm","0.000001"
"min-4SCC","21","35","0.017","48","5.8673e-7","pagerankL1Norm","5e-7"
"min-4SCC","21","35","0.024","57","4.4517e-7","pagerankL2Norm","5e-7"
"min-4SCC","21","35","0.016","42","0.0000012591","pagerankLiNorm","5e-7"
"min-4SCC","21","35","0.018","53","4.2282e-7","pagerankL1Norm","1e-7"
"min-4SCC","21","35","0.024","57","4.4517e-7","pagerankL2Norm","1e-7"
"min-4SCC","21","35","0.019","48","5.8673e-7","pagerankLiNorm","1e-7"
"min-4SCC","21","35","0.02","56","4.638e-7","pagerankL1Norm","5e-8"
"min-4SCC","21","35","0.026","57","4.4517e-7","pagerankL2Norm","5e-8"
"min-4SCC","21","35","0.019","50","4.8615e-7","pagerankLiNorm","5e-8"
"min-4SCC","21","35","0.179","500","4.2282e-7","pagerankL1Norm","1e-8"
"min-4SCC","21","35","0.024","57","4.4517e-7","pagerankL2Norm","1e-8"
"min-4SCC","21","35","0.022","57","4.4517e-7","pagerankLiNorm","1e-8"
